,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
88,0.98,,145.4,46.4,25.9,2021-02-24 14:00:00
87,0.99,,143.5,45.1,25.5,2021-02-24 15:00:00
86,0.9,,141.6,43.8,25.0,2021-02-24 16:00:00
85,0.91,,137.8,42.6,24.6,2021-02-24 17:00:00
103,1.4,,180.32,277.72,52.03,2021-10-20 08:00:00
104,1.5,Subindo,176.58,280.73,52.87,2021-10-20 11:00:00
105,1.5,Estável,131.48,280.73,52.03,2021-10-20 13:00:00
106,1.3,Caindo,165.47,286.82,55.86,2021-10-20 15:00:00
107,1.1,Caindo,159.99,289.88,65.76,2021-10-20 17:00:00
108,1.2,Subindo,159.99,289.88,73.93,2021-10-20 19:00:00
109,1.1,Caindo,159.99,292.96,86.22,2021-10-20 21:00:00
110,1.4,Subindo,176.58,324.59,65.29,2021-10-21 07:00:00
111,1.4,Estável,167.31,331.1,55.43,2021-10-21 09:00:00
112,1.4,Estável,154.54,308.58,48.33,2021-10-21 11:00:00
113,1.4,Estável,145.57,280.73,42.45,2021-10-21 13:00:00
114,1.3,Baixando,129.74,262.86,38.72,2021-10-21 15:00:00
115,1.3,Estável,119.43,242.7,34.82,2021-10-21 17:00:00
116,1.15,Baixando,89.8,207.29,30.13,2021-10-21 21:00:00
117,1.0,,48.17,37.41,55.86,2021-11-20 10:00:00
118,1.1,Subindo,46.8,44.75,61.17,2021-11-20 11:00:00
119,1.4,Subindo,468.13,776.23,153.81,2021-11-21 02:00:00
120,1.8,Subindo,451.75,835.88,135.54,2021-11-21 04:00:00
121,2.0,Subindo,408.01,892.38,104.0,2021-11-21 07:00:00
122,2.2,Subindo,372.0,892.38,84.11,2021-11-21 09:00:00
123,2.2,Estável,343.35,887.18,76.92,2021-11-21 10:00:00
124,1.9,Estável,343.35,887.18,76.92,2021-11-21 10:00:00
125,2.2,Estável,332.47,871.64,70.51,2021-11-21 11:00:00
126,2.3,Subindo,313.11,840.95,64.83,2021-11-21 12:00:00
127,2.3,Estável,294.02,810.77,60.27,2021-11-21 13:00:00
128,2.3,Estável,273.15,761.64,57.17,2021-11-21 14:00:00
129,2.1,Caindo,250.63,718.66,54.57,2021-11-21 15:00:00
130,2.1,Estável,242.55,618.57,50.78,2021-11-21 17:00:00
131,2.1,Estável,222.64,571.18,48.73,2021-11-21 18:00:00
132,2.1,Estável,205.08,529.64,47.12,2021-11-21 19:00:00
133,1.7,Baixando,185.97,417.58,42.07,2021-11-21 23:00:00
134,1.5,Baixando,165.47,354.36,40.94,2021-11-22 01:00:00
135,1.3,Baixando,156.35,324.59,39.46,2021-11-22 03:00:00
136,1.2,Baixando,142.01,299.16,37.64,2021-11-22 05:00:00
137,1.2,Estável,128.01,274.71,34.82,2021-11-22 08:00:00
138,1.0,,111.0,237.08,32.43,2021-11-22 11:00:00
139,1.1,Subindo,121.14,265.8,48.33,2021-12-08 13:00:00
