id,Data,Hora,Vazao,Nivel,Chuva
102,2023-02-08,20:30:00,74.24,775.00,0.00
103,2023-02-08,20:00:00,74.24,775.00,0.00
104,2023-02-08,19:30:00,74.24,775.00,0.00
105,2023-02-08,19:00:00,74.24,775.00,0.00
106,2023-02-08,18:30:00,74.24,775.00,0.00
107,2023-02-08,18:00:00,72.73,774.00,0.00
108,2023-02-08,17:30:00,74.24,775.00,0.00
109,2023-02-08,17:00:00,74.24,775.00,0.00
110,2023-02-08,16:30:00,72.73,774.00,0.00
111,2023-02-08,16:00:00,74.24,775.00,0.00
112,2023-02-08,15:30:00,74.24,775.00,0.00
113,2023-02-08,15:00:00,74.24,775.00,0.00
114,2023-02-08,14:30:00,74.24,775.00,0.00
115,2023-02-08,14:00:00,74.24,775.00,0.00
116,2023-02-08,13:30:00,75.77,776.00,0.00
117,2023-02-08,13:00:00,75.77,776.00,0.00
118,2023-02-08,12:30:00,77.30,777.00,0.00
119,2023-02-08,12:00:00,77.30,777.00,0.00
120,2023-02-08,11:30:00,78.84,778.00,0.00
121,2023-02-08,11:00:00,80.38,779.00,0.00
122,2023-02-08,10:30:00,83.49,781.00,0.00
123,2023-02-08,10:00:00,85.06,782.00,0.00
124,2023-02-08,09:30:00,88.21,784.00,0.00
125,2023-02-08,09:00:00,89.80,785.00,0.00
126,2023-02-08,08:30:00,89.80,785.00,0.00
127,2023-02-08,08:00:00,89.80,785.00,0.00
128,2023-02-08,07:30:00,91.39,786.00,0.00
129,2023-02-08,07:00:00,89.80,785.00,0.00
130,2023-02-08,06:30:00,92.99,787.00,0.00
131,2023-02-08,06:00:00,94.60,788.00,0.00
132,2023-02-08,05:30:00,97.83,790.00,0.00
133,2023-02-08,05:00:00,99.45,791.00,0.00
134,2023-02-08,04:30:00,99.45,791.00,0.00
135,2023-02-08,04:00:00,99.45,791.00,0.00
136,2023-02-08,03:30:00,99.45,791.00,0.00
137,2023-02-08,03:00:00,99.45,791.00,0.00
138,2023-02-08,02:30:00,99.45,791.00,0.00
139,2023-02-08,02:00:00,99.45,791.00,0.00
140,2023-02-08,01:30:00,99.45,791.00,0.00
141,2023-02-08,01:00:00,89.80,785.00,0.00
142,2023-02-08,00:30:00,81.93,780.00,0.00
143,2023-02-08,00:00:00,81.93,780.00,0.00
144,2023-02-07,23:30:00,85.06,782.00,0.00
145,2023-02-07,23:00:00,89.80,785.00,0.00
146,2023-02-07,22:30:00,96.21,789.00,0.00
147,2023-02-07,22:00:00,101.08,792.00,0.00
148,2023-02-07,21:30:00,102.72,793.00,0.00
149,2023-02-07,21:00:00,89.80,785.00,0.00
150,2023-02-07,20:30:00,80.38,779.00,0.00
151,2023-02-07,20:00:00,80.38,779.00,0.00
152,2023-02-07,19:30:00,81.93,780.00,0.00
153,2023-02-07,19:00:00,83.49,781.00,0.00
154,2023-02-07,18:30:00,85.06,782.00,0.00
155,2023-02-07,18:00:00,81.93,780.00,0.00
156,2023-02-07,17:30:00,81.93,780.00,0.00
157,2023-02-07,17:00:00,81.93,780.00,0.00
158,2023-02-07,16:30:00,21.21,726.00,0.00
159,2023-02-07,16:00:00,36.22,748.00,0.00
160,2023-02-07,15:30:00,32.42,745.00,0.00
161,2023-02-07,15:00:00,86.63,783.00,0.00
162,2023-02-07,14:30:00,86.63,783.00,0.00
163,2023-02-07,14:00:00,86.63,783.00,0.00
164,2023-02-07,13:30:00,86.63,783.00,0.00
165,2023-02-07,13:00:00,86.63,783.00,0.00
166,2023-02-07,12:30:00,86.63,783.00,0.00
167,2023-02-07,12:00:00,86.63,783.00,0.00
168,2023-02-07,11:30:00,86.63,783.00,0.00
169,2023-02-07,11:00:00,86.63,783.00,0.00
170,2023-02-07,10:30:00,86.63,783.00,0.00
171,2023-02-07,10:00:00,86.63,783.00,0.00
172,2023-02-07,09:30:00,86.63,783.00,0.00
173,2023-02-07,09:00:00,86.63,783.00,0.00
174,2023-02-07,08:30:00,85.06,782.00,0.00
175,2023-02-07,08:00:00,80.38,779.00,0.00
176,2023-02-07,07:30:00,80.38,779.00,0.00
177,2023-02-07,07:00:00,78.84,778.00,0.00
178,2023-02-07,06:30:00,78.84,778.00,0.00
179,2023-02-07,06:00:00,78.84,778.00,0.00
180,2023-02-07,05:30:00,78.84,778.00,0.00
181,2023-02-07,05:00:00,78.84,778.00,0.00
182,2023-02-07,04:30:00,78.84,778.00,0.00
183,2023-02-07,04:00:00,78.84,778.00,0.00
184,2023-02-07,03:30:00,78.84,778.00,0.00
185,2023-02-07,03:00:00,80.38,779.00,0.00
186,2023-02-07,02:30:00,78.84,778.00,0.00
187,2023-02-07,02:00:00,78.84,778.00,0.00
188,2023-02-07,01:30:00,78.84,778.00,0.00
189,2023-02-07,01:00:00,78.84,778.00,0.00
190,2023-02-07,00:30:00,78.84,778.00,0.00
191,2023-02-07,00:00:00,78.84,778.00,0.00
192,2023-02-06,23:30:00,78.84,778.00,0.00
193,2023-02-06,23:00:00,78.84,778.00,0.00
194,2023-02-06,22:30:00,78.84,778.00,0.00
195,2023-02-06,22:00:00,77.30,777.00,0.00
196,2023-02-06,21:30:00,78.84,778.00,0.00
197,2023-02-06,21:00:00,77.30,777.00,0.00
198,2023-02-06,20:30:00,77.30,777.00,0.00
199,2023-02-06,20:00:00,77.30,777.00,0.00
