,data,hora,nível,estado
153,2021-11-22,05:00:00,1.2,Baixando
154,2021-11-22,08:00:00,1.2,Estável
155,2021-11-22,11:00:00,1.0,
156,2021-12-08,13:00:00,1.1,Subindo
157,2021-12-08,15:00:00,1.3,Subindo
158,2021-12-08,17:00:00,1.2,Baixando
159,2021-12-08,19:00:00,1.1,Baixando
160,2021-12-08,21:00:00,1.0,Baixando
161,2021-12-08,23:00:00,0.9,Baixando
162,2021-12-09,02:00:00,0.7,
163,2022-01-08,08:00:00,1.2,Subindo
164,2022-01-08,10:00:00,1.5,Subindo
165,2022-01-08,12:00:00,1.8,Subindo
166,2022-01-08,14:00:00,1.9,Subindo
167,2022-01-08,16:00:00,1.9,Estável
168,2022-01-08,18:00:00,1.8,Baixando
169,2022-01-08,20:00:00,1.6,Baixando
170,2022-01-08,22:00:00,1.2,Baixando
171,2022-01-09,06:00:00,1.6,Subindo
172,2022-01-09,08:00:00,1.7,Subindo
173,2022-01-09,10:00:00,1.9,Subindo
174,2022-01-09,12:00:00,1.95,Subindo
175,2022-01-09,14:00:00,2.1,Subindo
176,2022-01-09,16:00:00,2.3,Subindo
177,2022-01-09,17:00:00,2.5,Subindo
178,2022-01-09,18:00:00,2.6,Subindo
179,2022-01-09,19:00:00,2.7,Subindo
180,2022-01-09,20:00:00,2.8,Subindo
181,2022-01-09,21:00:00,2.9,Subindo
182,2022-01-09,22:00:00,2.95,Subindo
183,2022-01-09,23:00:00,3.0,Subindo
184,2022-01-09,00:00:00,3.0,Estável
185,2022-01-10,01:00:00,3.0,Estável
186,2022-01-10,02:00:00,2.9,Baixando
187,2022-01-10,03:00:00,2.85,Baixando
188,2022-01-10,04:00:00,2.8,Baixandol
189,2022-01-10,05:00:00,2.8,Estável
190,2022-01-10,06:00:00,2.8,Estável
191,2022-01-10,07:00:00,2.9,Subindo
192,2022-01-10,08:00:00,2.9,Estável
193,2022-01-10,09:00:00,2.9,Estável
194,2022-01-10,10:00:00,2.9,Estável
195,2022-01-10,11:00:00,2.8,Baixando
196,2022-01-10,12:00:00,2.8,Estável
197,2022-01-10,13:00:00,2.8,Estável
198,2022-01-10,14:00:00,2.7,Baixando
199,2022-01-10,15:00:00,2.7,Estável
200,2022-01-10,16:00:00,2.7,Estável
201,2022-01-10,17:00:00,2.7,Estável
202,2022-01-10,18:00:00,2.8,Subindo
203,2022-01-10,19:00:00,2.85,Subindo
204,2022-01-10,20:00:00,2.9,Subindo
205,2022-01-10,21:00:00,2.95,Subindo
206,2022-01-10,22:00:00,2.95,Estável
207,2022-01-10,23:00:00,2.95,Estável
208,2022-01-11,00:00:00,2.9,
209,2022-01-11,01:00:00,2.9,Estável
210,2022-01-11,02:00:00,2.75,Baixando
211,2022-01-11,03:00:00,2.65,Baixando
212,2022-01-11,04:00:00,2.55,Baixando
213,2022-01-11,05:00:00,2.3,Baixando
214,2022-01-11,06:00:00,2.2,Baixando
215,2022-01-11,07:00:00,2.05,Baixando
216,2022-01-11,08:00:00,1.95,Baixando
217,2022-01-11,09:00:00,1.9,Baixando
218,2022-01-11,10:00:00,1.9,Estável
219,2022-01-11,11:00:00,1.9,Estável
220,2022-01-11,12:00:00,1.9,Estável
221,2022-01-11,13:00:00,1.8,Baixando
222,2022-01-11,14:00:00,1.7,Baixando
223,2022-01-11,16:00:00,1.65,Baixando
224,2022-01-11,20:00:00,1.65,Estável
225,2022-01-11,22:00:00,1.65,Estável
226,2022-01-11,00:00:00,1.65,Estável
227,2022-01-12,00:00:00,1.65,
228,2022-01-12,02:00:00,1.6,Baixando
229,2022-01-12,04:00:00,1.6,Estável
230,2022-01-12,06:00:00,1.5,Baixando
231,2022-01-12,08:00:00,1.35,Baixando
